Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
Not Interested,Average,Excellent,Average,Excellent,Intermediate,Professional,Excellent,Average,Average,Not Interested,Average,Not Interested,Not Interested,Average,Professional,Poor,Networking Engineer
Poor,Beginner,Beginner,Average,Excellent,Professional,Average,Intermediate,Poor,Beginner,Not Interested,Beginner,Average,Average,Intermediate,Professional,Intermediate,Networking Engineer
Intermediate,Average,Intermediate,Average,Excellent,Average,Not Interested,Intermediate,Professional,Average,Intermediate,Intermediate,Professional,Average,Average,Professional,Excellent,Networking Engineer
Poor,Beginner,Not Interested,Average,Excellent,Not Interested,Poor,Average,Intermediate,Beginner,Poor,Poor,Beginner,Intermediate,Not Interested,Professional,Intermediate,Networking Engineer
Average,Beginner,Beginner,Average,Excellent,Beginner,Average,Professional,Beginner,Poor,Not Interested,Average,Average,Average,Professional,Professional,Intermediate,Networking Engineer
Not Interested,Beginner,Not Interested,Average,Excellent,Not Interested,Professional,Intermediate,Not Interested,Beginner,Beginner,Beginner,Not Interested,Intermediate,Average,Professional,Average,Networking Engineer
Poor,Intermediate,Not Interested,Average,Excellent,Intermediate,Excellent,Intermediate,Beginner,Intermediate,Average,Average,Beginner,Intermediate,Average,Professional,Intermediate,Networking Engineer
Intermediate,Professional,Not Interested,Average,Excellent,Professional,Not Interested,Professional,Average,Poor,Beginner,Average,Poor,Professional,Poor,Professional,Poor,Networking Engineer
Beginner,Not Interested,Not Interested,Average,Excellent,Average,Professional,Professional,Beginner,Professional,Average,Average,Professional,Average,Beginner,Professional,Average,Networking Engineer
Intermediate,Average,Not Interested,Average,Excellent,Beginner,Intermediate,Beginner,Beginner,Not Interested,Beginner,Average,Intermediate,Not Interested,Beginner,Professional,Poor,Networking Engineer
Poor,Professional,Beginner,Average,Excellent,Excellent,Poor,Beginner,Beginner,Beginner,Intermediate,Poor,Average,Poor,Not Interested,Professional,Not Interested,Networking Engineer
Intermediate,Average,Poor,Average,Excellent,Professional,Average,Poor,Not Interested,Professional,Poor,Average,Professional,Beginner,Professional,Professional,Professional,Networking Engineer
Not Interested,Intermediate,Average,Average,Excellent,Beginner,Excellent,Poor,Poor,Average,Average,Average,Intermediate,Excellent,Poor,Professional,Not Interested,Networking Engineer
Professional,Not Interested,Poor,Average,Excellent,Beginner,Not Interested,Average,Beginner,Average,Beginner,Poor,Average,Professional,Not Interested,Professional,Professional,Networking Engineer
Beginner,Average,Beginner,Average,Excellent,Not Interested,Intermediate,Beginner,Professional,Average,Average,Average,Poor,Not Interested,Beginner,Professional,Average,Networking Engineer
Average,Intermediate,Excellent,Average,Excellent,Average,Intermediate,Intermediate,Average,Intermediate,Excellent,Excellent,Poor,Poor,Average,Professional,Not Interested,Networking Engineer
Beginner,Intermediate,Intermediate,Average,Excellent,Average,Poor,Beginner,Excellent,Poor,Beginner,Not Interested,Intermediate,Professional,Not Interested,Professional,Intermediate,Networking Engineer
Professional,Intermediate,Not Interested,Average,Excellent,Professional,Not Interested,Intermediate,Poor,Beginner,Not Interested,Professional,Intermediate,Intermediate,Professional,Professional,Average,Networking Engineer
Intermediate,Not Interested,Poor,Average,Excellent,Professional,Average,Poor,Beginner,Beginner,Intermediate,Not Interested,Poor,Beginner,Professional,Professional,Intermediate,Networking Engineer
Poor,Average,Poor,Average,Excellent,Average,Intermediate,Average,Poor,Average,Professional,Beginner,Average,Beginner,Not Interested,Professional,Beginner,Networking Engineer
Beginner,Professional,Intermediate,Average,Excellent,Average,Intermediate,Poor,Poor,Average,Poor,Poor,Average,Professional,Poor,Professional,Intermediate,Networking Engineer
Intermediate,Beginner,Beginner,Average,Excellent,Beginner,Beginner,Not Interested,Average,Not Interested,Average,Intermediate,Beginner,Poor,Not Interested,Professional,Average,Networking Engineer
Poor,Beginner,Professional,Average,Excellent,Beginner,Intermediate,Excellent,Professional,Intermediate,Poor,Beginner,Intermediate,Poor,Poor,Professional,Not Interested,Networking Engineer
Professional,Poor,Not Interested,Average,Excellent,Professional,Average,Not Interested,Intermediate,Beginner,Poor,Excellent,Professional,Average,Professional,Professional,Professional,Networking Engineer
Not Interested,Not Interested,Not Interested,Average,Excellent,Intermediate,Professional,Average,Average,Average,Average,Average,Average,Poor,Excellent,Professional,Beginner,Networking Engineer
Poor,Poor,Poor,Average,Excellent,Average,Not Interested,Poor,Intermediate,Beginner,Beginner,Intermediate,Beginner,Professional,Professional,Professional,Beginner,Networking Engineer
Beginner,Intermediate,Average,Average,Excellent,Beginner,Average,Professional,Average,Beginner,Intermediate,Beginner,Poor,Average,Beginner,Professional,Beginner,Networking Engineer
Not Interested,Average,Average,Average,Excellent,Beginner,Excellent,Beginner,Not Interested,Average,Beginner,Intermediate,Intermediate,Average,Excellent,Professional,Average,Networking Engineer
Poor,Average,Poor,Average,Excellent,Poor,Average,Beginner,Intermediate,Poor,Average,Excellent,Not Interested,Professional,Average,Professional,Poor,Networking Engineer
Not Interested,Professional,Average,Average,Excellent,Poor,Poor,Professional,Not Interested,Poor,Not Interested,Not Interested,Intermediate,Average,Not Interested,Professional,Average,Networking Engineer
Beginner,Poor,Intermediate,Average,Excellent,Excellent,Not Interested,Beginner,Not Interested,Average,Not Interested,Poor,Intermediate,Poor,Average,Professional,Intermediate,Networking Engineer
Average,Poor,Poor,Average,Excellent,Beginner,Not Interested,Average,Beginner,Not Interested,Intermediate,Not Interested,Intermediate,Excellent,Poor,Professional,Excellent,Networking Engineer
Average,Excellent,Poor,Average,Excellent,Beginner,Beginner,Not Interested,Beginner,Professional,Professional,Poor,Excellent,Beginner,Intermediate,Professional,Average,Networking Engineer
Intermediate,Intermediate,Poor,Average,Excellent,Beginner,Professional,Beginner,Average,Poor,Beginner,Not Interested,Intermediate,Poor,Average,Professional,Beginner,Networking Engineer
Average,Poor,Not Interested,Average,Excellent,Average,Not Interested,Professional,Poor,Beginner,Intermediate,Professional,Not Interested,Beginner,Beginner,Professional,Not Interested,Networking Engineer
Poor,Intermediate,Beginner,Average,Excellent,Poor,Professional,Poor,Average,Intermediate,Average,Poor,Beginner,Intermediate,Not Interested,Professional,Professional,Networking Engineer
Not Interested,Beginner,Not Interested,Average,Excellent,Average,Average,Average,Average,Not Interested,Professional,Not Interested,Beginner,Beginner,Not Interested,Professional,Intermediate,Networking Engineer
Poor,Average,Average,Average,Excellent,Intermediate,Beginner,Average,Beginner,Poor,Intermediate,Beginner,Average,Beginner,Average,Professional,Excellent,Networking Engineer
Average,Intermediate,Poor,Average,Excellent,Poor,Average,Average,Excellent,Average,Intermediate,Poor,Beginner,Intermediate,Excellent,Professional,Excellent,Networking Engineer
Professional,Excellent,Excellent,Average,Excellent,Average,Beginner,Intermediate,Average,Average,Beginner,Not Interested,Poor,Intermediate,Intermediate,Professional,Intermediate,Networking Engineer
Poor,Poor,Intermediate,Average,Excellent,Not Interested,Average,Poor,Average,Average,Poor,Not Interested,Intermediate,Intermediate,Average,Professional,Not Interested,Networking Engineer
Average,Intermediate,Average,Average,Excellent,Not Interested,Beginner,Beginner,Beginner,Average,Poor,Average,Intermediate,Beginner,Beginner,Professional,Average,Networking Engineer
Beginner,Average,Poor,Average,Excellent,Poor,Intermediate,Poor,Beginner,Professional,Intermediate,Beginner,Poor,Intermediate,Beginner,Professional,Professional,Networking Engineer
Average,Beginner,Average,Average,Excellent,Poor,Beginner,Professional,Intermediate,Average,Average,Poor,Beginner,Professional,Poor,Professional,Beginner,Networking Engineer
Beginner,Poor,Beginner,Average,Excellent,Beginner,Average,Average,Beginner,Professional,Poor,Excellent,Intermediate,Average,Poor,Professional,Average,Networking Engineer
Beginner,Not Interested,Beginner,Average,Excellent,Beginner,Average,Beginner,Average,Poor,Not Interested,Average,Beginner,Average,Intermediate,Professional,Average,Networking Engineer
Excellent,Not Interested,Not Interested,Average,Excellent,Beginner,Average,Intermediate,Average,Poor,Not Interested,Intermediate,Poor,Intermediate,Professional,Professional,Professional,Networking Engineer
Beginner,Professional,Excellent,Average,Excellent,Average,Poor,Not Interested,Professional,Professional,Poor,Average,Professional,Intermediate,Professional,Professional,Poor,Networking Engineer
Average,Beginner,Intermediate,Average,Excellent,Beginner,Intermediate,Not Interested,Poor,Intermediate,Beginner,Intermediate,Average,Beginner,Professional,Professional,Average,Networking Engineer
Intermediate,Not Interested,Poor,Average,Excellent,Not Interested,Average,Poor,Not Interested,Beginner,Intermediate,Poor,Excellent,Poor,Not Interested,Professional,Not Interested,Networking Engineer
Excellent,Beginner,Average,Average,Excellent,Beginner,Poor,Poor,Not Interested,Beginner,Average,Excellent,Average,Average,Average,Professional,Average,Networking Engineer
Not Interested,Not Interested,Average,Average,Excellent,Poor,Professional,Intermediate,Poor,Excellent,Not Interested,Poor,Beginner,Intermediate,Excellent,Professional,Average,Networking Engineer
Average,Intermediate,Intermediate,Average,Excellent,Beginner,Beginner,Intermediate,Average,Average,Average,Not Interested,Intermediate,Intermediate,Intermediate,Professional,Average,Networking Engineer
Average,Beginner,Poor,Average,Excellent,Intermediate,Intermediate,Not Interested,Intermediate,Poor,Intermediate,Intermediate,Average,Intermediate,Professional,Professional,Professional,Networking Engineer
Beginner,Intermediate,Professional,Average,Excellent,Intermediate,Average,Beginner,Professional,Average,Poor,Not Interested,Average,Poor,Professional,Professional,Poor,Networking Engineer
Poor,Not Interested,Poor,Average,Excellent,Poor,Beginner,Beginner,Intermediate,Poor,Not Interested,Professional,Average,Intermediate,Average,Professional,Professional,Networking Engineer
Not Interested,Excellent,Average,Average,Excellent,Intermediate,Poor,Intermediate,Professional,Not Interested,Average,Not Interested,Average,Poor,Poor,Professional,Not Interested,Networking Engineer
Average,Average,Average,Average,Excellent,Beginner,Professional,Beginner,Not Interested,Beginner,Professional,Poor,Average,Poor,Intermediate,Professional,Poor,Networking Engineer
Poor,Excellent,Average,Average,Excellent,Not Interested,Poor,Not Interested,Average,Professional,Average,Intermediate,Poor,Poor,Intermediate,Professional,Not Interested,Networking Engineer
Average,Not Interested,Intermediate,Average,Excellent,Beginner,Not Interested,Beginner,Poor,Intermediate,Intermediate,Average,Professional,Average,Intermediate,Professional,Not Interested,Networking Engineer
Average,Beginner,Average,Average,Excellent,Poor,Professional,Intermediate,Not Interested,Average,Beginner,Poor,Beginner,Average,Poor,Professional,Average,Networking Engineer
Excellent,Poor,Beginner,Average,Excellent,Average,Beginner,Average,Not Interested,Poor,Beginner,Intermediate,Not Interested,Average,Intermediate,Professional,Average,Networking Engineer
Not Interested,Professional,Professional,Average,Excellent,Not Interested,Not Interested,Poor,Excellent,Poor,Poor,Intermediate,Not Interested,Intermediate,Beginner,Professional,Intermediate,Networking Engineer
Average,Not Interested,Poor,Average,Excellent,Intermediate,Not Interested,Poor,Average,Beginner,Professional,Average,Poor,Professional,Average,Professional,Not Interested,Networking Engineer
Beginner,Average,Not Interested,Average,Excellent,Not Interested,Excellent,Beginner,Excellent,Not Interested,Beginner,Professional,Average,Professional,Not Interested,Professional,Excellent,Networking Engineer
Average,Average,Poor,Average,Excellent,Poor,Average,Poor,Average,Not Interested,Beginner,Not Interested,Average,Professional,Not Interested,Professional,Poor,Networking Engineer
Beginner,Poor,Average,Average,Excellent,Poor,Intermediate,Intermediate,Intermediate,Professional,Average,Professional,Average,Beginner,Not Interested,Professional,Beginner,Networking Engineer
Not Interested,Beginner,Beginner,Average,Excellent,Beginner,Excellent,Professional,Poor,Poor,Not Interested,Intermediate,Not Interested,Average,Intermediate,Professional,Not Interested,Networking Engineer
Poor,Not Interested,Intermediate,Average,Excellent,Excellent,Excellent,Beginner,Not Interested,Intermediate,Beginner,Poor,Beginner,Beginner,Beginner,Professional,Not Interested,Networking Engineer
Intermediate,Average,Intermediate,Average,Excellent,Intermediate,Beginner,Professional,Beginner,Poor,Average,Poor,Intermediate,Beginner,Intermediate,Professional,Poor,Networking Engineer
Excellent,Intermediate,Professional,Average,Excellent,Beginner,Beginner,Poor,Average,Not Interested,Beginner,Poor,Excellent,Professional,Average,Professional,Intermediate,Networking Engineer
Average,Beginner,Average,Average,Excellent,Intermediate,Intermediate,Beginner,Not Interested,Beginner,Intermediate,Intermediate,Not Interested,Not Interested,Professional,Professional,Professional,Networking Engineer
